country,year,observer,date_format,juldate,observation_num,treeID_format,observationID,treesp,time_format,bird_sp,num_birds,migratory_insectivore,notes,canopy_volume,scale_volume
nicaragua,2016,DN,12/31/2015,0,1,Z5,zapote-1-2016,zapote,9:17,none,0,0,,4410.796086,0.817611272
nicaragua,2016,DN,12/31/2015,0,1,A2,avocado-1-2016,avocado,9:40,none,0,0,,311.0176727,-0.403201169
nicaragua,2016,DN,12/31/2015,0,1,Ce6,cedro-1-2016,cedro,10:02,none,0,0,,4188.790205,0.75150342
nicaragua,2016,DN,12/31/2015,0,2,Z1,zapote-2-2016,zapote,11:48,none,0,0,,2412.743158,0.222640611
nicaragua,2016,DN,12/31/2015,0,1,Gu1,guanacaste-1-2016,guanacaste,12:23,unknown,1,0,,19268.43494,5.241848031
nicaragua,2016,DN,12/31/2015,0,1,F7,ficus-1-2016,ficus,13:00,none,0,0,,1272.345025,-0.1169417
nicaragua,2016,DN,12/31/2015,0,1,Ci4,citrus-1-2016,citrus,14:50,none,0,0,,602.1385919,-0.316512572
nicaragua,2016,DN,12/31/2015,0,1,J1,jacote-1-2016,jacote,15:38,none,0,0,,268.0825731,-0.415986178
nicaragua,2016,DN,12/31/2015,0,2,F6,ficus-2-2016,ficus,16:35,none,0,0,,2297.289628,0.18826141
nicaragua,2016,DN,12/31/2015,0,1,Ge1,albizia-1-2016,albizia,17:00,ywar,1,1,,314.1592654,-0.402265681
nicaragua,2016,DN,12/31/2015,0,1,Ge1,albizia-1-2016,albizia,17:00,unknown,1,0,,314.1592654,-0.402265681
nicaragua,2016,DN,1/1/2016,1,1,Mn2,madero negro-1-2016,madero negro,8:32,none,0,0,,1256.637061,-0.121619143
nicaragua,2016,DN,1/1/2016,1,2,Ge3,albizia-2-2016,albizia,9:09,none,0,0,,418.8790205,-0.371082732
nicaragua,2016,DN,1/1/2016,1,1,M3,mango-1-2016,mango,9:43,none,0,0,,101.4472628,-0.465606045
nicaragua,2016,DN,1/1/2016,1,1,O3,olive-1-2016,olive,10:43,none,0,0,,20.94395102,-0.489577937
nicaragua,2016,DN,1/1/2016,1,3,F4,ficus-3-2016,ficus,11:23,unknown,1,0,,904.7786842,-0.22639385
nicaragua,2016,DN,1/1/2016,1,2,Gu1,guanacaste-2-2016,guanacaste,11:50,baor,1,0,,19268.43494,5.241848031
nicaragua,2016,DN,1/1/2016,1,2,J1,jacote-2-2016,jacote,12:05,none,0,0,,268.0825731,-0.415986178
nicaragua,2016,DN,1/2/2016,2,2,O1,olive-2-2016,olive,7:29,none,0,0,,102.62536,-0.465255237
nicaragua,2016,DN,1/2/2016,2,3,Z1,zapote-3-2016,zapote,7:48,ywar,1,1,,2412.743158,0.222640611
nicaragua,2016,DN,1/2/2016,2,2,Mn1,madero negro-2-2016,madero negro,8:05,ytvi,1,1,,1727.875959,0.018704126
nicaragua,2016,DN,1/2/2016,2,2,Mn1,madero negro-2-2016,madero negro,8:05,tewa,1,1,,1727.875959,0.018704126
nicaragua,2016,DN,1/2/2016,2,3,J1,jacote-3-2016,jacote,9:00,none,0,0,,268.0825731,-0.415986178
nicaragua,2016,DN,1/2/2016,2,2,Ci5,citrus-2-2016,citrus,9:14,none,0,0,,753.9822369,-0.271297296
nicaragua,2016,DN,1/2/2016,2,3,Gu2,guanacaste-3-2016,guanacaste,9:53,unknown,1,0,,20106.19298,5.49131162
nicaragua,2016,DN,1/2/2016,2,3,Gu2,guanacaste-3-2016,guanacaste,9:53,weta,1,0,,20106.19298,5.49131162
nicaragua,2016,DN,1/2/2016,2,4,F7,ficus-4-2016,ficus,10:20,none,0,0,,1272.345025,-0.1169417
